"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0O830","2019-09-25 00:00:00","127.000","0.000","0.000","23.000","0.950","1002.800","","0.000","-99.000","-99.000","-99.000","33.000","","21.200",""
"C0S760","2019-09-25 00:00:00","1621.000","0.000","0.100","14.400","1.000","844.600","","0.500","-99.000","-99.000","-99.000","17.500","","13.700",""
"C0X160","2019-09-25 00:00:00","26.000","25.000","1.700","25.800","0.740","1014.000","","0.000","-99.000","-99.000","-99.000","31.200","","23.000",""
"C0C490","2019-09-25 00:00:00","157.000","62.000","1.300","22.900","0.690","1000.000","","0.000","-99.000","-99.000","-99.000","26.900","","22.700",""
"C0U990","2019-09-25 00:00:00","31.000","255.000","1.500","22.100","0.800","1017.100","","0.500","-99.000","-99.000","-99.000","23.500","","21.400",""
"C0U940","2019-09-25 00:00:00","25.000","258.000","1.400","21.400","0.810","1017.800","","3.000","-99.000","-99.000","-99.000","22.400","","20.500",""
"C0S970","2019-09-25 00:00:00","19.000","328.000","1.000","23.700","0.840","1016.100","","0.500","-99.000","-99.000","-99.000","28.200","","23.300",""
"C0V260","2019-09-25 00:00:00","126.000","91.000","1.100","23.400","0.880","1002.800","","0.000","-99.000","-99.000","-99.000","33.600","","22.400",""
"C0H990","2019-09-25 00:00:00","3076.000","252.000","1.300","9.000","0.590","710.100","","0.000","-99.000","-99.000","-99.000","12.700","","5.700",""
"C0AH90","2019-09-25 00:00:00","660.000","0.000","0.000","17.300","0.990","948.200","","2.500","-99.000","-99.000","-99.000","18.900","","15.500",""
"C0W150","2019-09-25 00:00:00","42.000","73.000","3.400","25.000","0.670","1014.700","","0.000","-99.000","-99.000","-99.000","29.500","","23.800",""
"C0F000","2019-09-25 00:00:00","273.000","68.000","0.800","21.600","0.960","984.200","","0.000","-99.000","-99.000","-99.000","28.400","","20.500",""
"C0K410","2019-09-25 00:00:00","20.000","33.000","1.300","23.900","0.710","1013.600","","0.000","-99.000","-99.000","-99.000","30.400","","21.500",""
"C0R140","2019-09-25 00:00:00","740.000","292.000","0.300","20.300","0.990","937.100","","3.000","-99.000","-99.000","-99.000","25.200","","19.600",""
"C0V800","2019-09-25 00:00:00","256.000","293.000","0.400","23.100","0.880","986.200","","0.000","-99.000","-99.000","-99.000","30.000","","21.400",""
"C0S830","2019-09-25 00:00:00","288.000","309.000","0.500","22.400","0.750","987.600","","0.000","-99.000","-99.000","-99.000","27.100","","21.800",""
"C0S920","2019-09-25 00:00:00","98.000","305.000","0.600","22.700","0.950","1002.800","","3.500","-99.000","-99.000","-99.000","28.700","","21.800",""
"C0V640","2019-09-25 00:00:00","35.000","78.000","2.000","24.900","0.830","1012.800","","0.000","-99.000","-99.000","-99.000","30.400","","22.800",""
